-0.543544e	-0.499909e
-0.541542e	-0.498654e
-0.539540e	-0.497390e
-0.537538e	-0.496117e
-0.535536e	-0.494834e
-0.533534e	-0.493542e
-0.531532e	-0.492240e
-0.529530e	-0.490930e
-0.527528e	-0.489611e
-0.525526e	-0.488282e
-0.523524e	-0.486945e
-0.521522e	-0.485599e
-0.519520e	-0.484244e
-0.517518e	-0.482881e
-0.515516e	-0.481508e
-0.513514e	-0.480128e
-0.511512e	-0.478738e
-0.509510e	-0.477341e
-0.507508e	-0.475934e
-0.505506e	-0.474520e
-0.503504e	-0.473097e
-0.501502e	-0.471667e
-0.499499e	-0.470228e
-0.497497e	-0.468781e
-0.495495e	-0.467326e
-0.493493e	-0.465863e
-0.491491e	-0.464393e
-0.489489e	-0.462914e
-0.487487e	-0.461428e
-0.485485e	-0.459935e
-0.483483e	-0.458434e
-0.481481e	-0.456925e
-0.479479e	-0.455409e
-0.477477e	-0.453886e
-0.475475e	-0.452355e
-0.473473e	-0.450817e
-0.471471e	-0.449273e
-0.469469e	-0.447721e
-0.467467e	-0.446162e
-0.465465e	-0.444596e
-0.463463e	-0.443023e
-0.461461e	-0.441444e
-0.459459e	-0.439857e
-0.457457e	-0.438265e
-0.455455e	-0.436665e
-0.453453e	-0.435059e
-0.451451e	-0.433447e
-0.449449e	-0.431828e
-0.447447e	-0.430203e
-0.445445e	-0.428572e
-0.443443e	-0.426935e
-0.441441e	-0.425291e
-0.439439e	-0.423642e
-0.437437e	-0.421986e
-0.435435e	-0.420325e
-0.433433e	-0.418658e
-0.431431e	-0.416985e
-0.429429e	-0.415306e
-0.427427e	-0.413622e
-0.425425e	-0.411932e
-0.423423e	-0.410237e
-0.421421e	-0.408536e
-0.419419e	-0.406830e
-0.417417e	-0.405119e
-0.415415e	-0.403402e
-0.413413e	-0.401680e
-0.411411e	-0.399953e
-0.409409e	-0.398221e
-0.407407e	-0.396484e
-0.405405e	-0.394743e
-0.403403e	-0.392996e
-0.401401e	-0.391244e
-0.399399e	-0.389488e
-0.397397e	-0.387727e
-0.395395e	-0.385962e
-0.393393e	-0.384192e
-0.391391e	-0.382417e
-0.389389e	-0.380639e
-0.387387e	-0.378855e
-0.385385e	-0.377068e
-0.383383e	-0.375276e
-0.381381e	-0.373480e
-0.379379e	-0.371680e
-0.377377e	-0.369876e
-0.375375e	-0.368068e
-0.373373e	-0.366255e
-0.371371e	-0.364439e
-0.369369e	-0.362620e
-0.367367e	-0.360796e
-0.365365e	-0.358969e
-0.363363e	-0.357137e
-0.361361e	-0.355303e
-0.359359e	-0.353465e
-0.357357e	-0.351623e
-0.355355e	-0.349778e
-0.353353e	-0.347929e
-0.351351e	-0.346077e
-0.349349e	-0.344222e
-0.347347e	-0.342364e
-0.345345e	-0.340502e
-0.343343e	-0.338637e
-0.341341e	-0.336770e
-0.339339e	-0.334899e
-0.337337e	-0.333025e
-0.335335e	-0.331148e
-0.333333e	-0.329268e
-0.331331e	-0.327386e
-0.329329e	-0.325500e
-0.327327e	-0.323612e
-0.325325e	-0.321722e
-0.323323e	-0.319828e
-0.321321e	-0.317932e
-0.319319e	-0.316034e
-0.317317e	-0.314132e
-0.315315e	-0.312229e
-0.313313e	-0.310323e
-0.311311e	-0.308415e
-0.309309e	-0.306504e
-0.307307e	-0.304591e
-0.305305e	-0.302676e
-0.303303e	-0.300758e
-0.301301e	-0.298838e
-0.299299e	-0.296917e
-0.297297e	-0.294993e
-0.295295e	-0.293067e
-0.293293e	-0.291139e
-0.291291e	-0.289209e
-0.289289e	-0.287277e
-0.287287e	-0.285344e
-0.285285e	-0.283408e
-0.283283e	-0.281471e
-0.281281e	-0.279531e
-0.279279e	-0.277591e
-0.277277e	-0.275648e
-0.275275e	-0.273704e
-0.273273e	-0.271758e
-0.271271e	-0.269810e
-0.269269e	-0.267861e
-0.267267e	-0.265910e
-0.265265e	-0.263958e
-0.263263e	-0.262005e
-0.261261e	-0.260050e
-0.259259e	-0.258093e
-0.257257e	-0.256135e
-0.255255e	-0.254176e
-0.253253e	-0.252216e
-0.251251e	-0.250254e
-0.249249e	-0.248291e
-0.247247e	-0.246327e
-0.245245e	-0.244361e
-0.243243e	-0.242395e
-0.241241e	-0.240427e
-0.239239e	-0.238458e
-0.237237e	-0.236488e
-0.235235e	-0.234517e
-0.233233e	-0.232545e
-0.231231e	-0.230572e
-0.229229e	-0.228598e
-0.227227e	-0.226623e
-0.225225e	-0.224647e
-0.223223e	-0.222670e
-0.221221e	-0.220693e
-0.219219e	-0.218714e
-0.217217e	-0.216735e
-0.215215e	-0.214754e
-0.213213e	-0.212773e
-0.211211e	-0.210792e
-0.209209e	-0.208809e
-0.207207e	-0.206826e
-0.205205e	-0.204842e
-0.203203e	-0.202857e
-0.201201e	-0.200872e
-0.199199e	-0.198886e
-0.197197e	-0.196899e
-0.195195e	-0.194912e
-0.193193e	-0.192924e
-0.191191e	-0.190936e
-0.189189e	-0.188947e
-0.187187e	-0.186958e
-0.185185e	-0.184968e
-0.183183e	-0.182977e
-0.181181e	-0.180986e
-0.179179e	-0.178995e
-0.177177e	-0.177003e
-0.175175e	-0.175010e
-0.173173e	-0.173018e
-0.171171e	-0.171024e
-0.169169e	-0.169031e
-0.167167e	-0.167037e
-0.165165e	-0.165042e
-0.163163e	-0.163048e
-0.161161e	-0.161053e
-0.159159e	-0.159057e
-0.157157e	-0.157061e
-0.155155e	-0.155065e
-0.153153e	-0.153069e
-0.151151e	-0.151072e
-0.149149e	-0.149075e
-0.147147e	-0.147078e
-0.145145e	-0.145081e
-0.143143e	-0.143083e
-0.141141e	-0.141085e
-0.139139e	-0.139087e
-0.137137e	-0.137089e
-0.135135e	-0.135090e
-0.133133e	-0.133091e
-0.131131e	-0.131092e
-0.129129e	-0.129093e
-0.127127e	-0.127094e
-0.125125e	-0.125094e
-0.123123e	-0.123095e
-0.121121e	-0.121095e
-0.119119e	-0.119095e
-0.117117e	-0.117095e
-0.115115e	-0.115095e
-0.113113e	-0.113095e
-0.111111e	-0.111094e
-0.109109e	-0.109094e
-0.107107e	-0.107093e
-0.105105e	-0.105092e
-0.103103e	-0.103091e
-0.101101e	-0.101091e
-0.099099e	-0.099090e
-0.097097e	-0.097088e
-0.095095e	-0.095087e
-0.093093e	-0.093086e
-0.091091e	-0.091085e
-0.089089e	-0.089083e
-0.087087e	-0.087082e
-0.085085e	-0.085081e
-0.083083e	-0.083079e
-0.081081e	-0.081078e
-0.079079e	-0.079076e
-0.077077e	-0.077074e
-0.075075e	-0.075073e
-0.073073e	-0.073071e
-0.071071e	-0.071069e
-0.069069e	-0.069067e
-0.067067e	-0.067066e
-0.065065e	-0.065064e
-0.063063e	-0.063062e
-0.061061e	-0.061060e
-0.059059e	-0.059058e
-0.057057e	-0.057056e
-0.055055e	-0.055055e
-0.053053e	-0.053053e
-0.051051e	-0.051051e
-0.049049e	-0.049049e
-0.047047e	-0.047047e
-0.045045e	-0.045045e
-0.043043e	-0.043043e
-0.041041e	-0.041041e
-0.039039e	-0.039039e
-0.037037e	-0.037037e
-0.035035e	-0.035035e
-0.033033e	-0.033033e
-0.031031e	-0.031031e
-0.029029e	-0.029029e
-0.027027e	-0.027027e
-0.025025e	-0.025025e
-0.023023e	-0.023023e
-0.021021e	-0.021021e
-0.019019e	-0.019019e
-0.017017e	-0.017017e
-0.015015e	-0.015015e
-0.013013e	-0.013013e
-0.011011e	-0.011011e
-0.009009e	-0.009009e
-0.007007e	-0.007007e
-0.005005e	-0.005005e
-0.003003e	-0.003003e
-0.001001e	-0.001001e
0.001001e	0.001001e
0.003003e	0.003003e
0.005005e	0.005005e
0.007007e	0.007007e
0.009009e	0.009009e
0.011011e	0.011011e
0.013013e	0.013013e
0.015015e	0.015015e
0.017017e	0.017017e
0.019019e	0.019019e
0.021021e	0.021021e
0.023023e	0.023023e
0.025025e	0.025025e
0.027027e	0.027027e
0.029029e	0.029029e
0.031031e	0.031031e
0.033033e	0.033033e
0.035035e	0.035035e
0.037037e	0.037037e
0.039039e	0.039039e
0.041041e	0.041041e
0.043043e	0.043043e
0.045045e	0.045045e
0.047047e	0.047047e
0.049049e	0.049049e
0.051051e	0.051051e
0.053053e	0.053053e
0.055055e	0.055055e
0.057057e	0.057056e
0.059059e	0.059058e
0.061061e	0.061060e
0.063063e	0.063062e
0.065065e	0.065064e
0.067067e	0.067066e
0.069069e	0.069067e
0.071071e	0.071069e
0.073073e	0.073071e
0.075075e	0.075073e
0.077077e	0.077074e
0.079079e	0.079076e
0.081081e	0.081078e
0.083083e	0.083079e
0.085085e	0.085081e
0.087087e	0.087082e
0.089089e	0.089083e
0.091091e	0.091085e
0.093093e	0.093086e
0.095095e	0.095087e
0.097097e	0.097088e
0.099099e	0.099090e
0.101101e	0.101091e
0.103103e	0.103091e
0.105105e	0.105092e
0.107107e	0.107093e
0.109109e	0.109094e
0.111111e	0.111094e
0.113113e	0.113095e
0.115115e	0.115095e
0.117117e	0.117095e
0.119119e	0.119095e
0.121121e	0.121095e
0.123123e	0.123095e
0.125125e	0.125094e
0.127127e	0.127094e
0.129129e	0.129093e
0.131131e	0.131092e
0.133133e	0.133091e
0.135135e	0.135090e
0.137137e	0.137089e
0.139139e	0.139087e
0.141141e	0.141085e
0.143143e	0.143083e
0.145145e	0.145081e
0.147147e	0.147078e
0.149149e	0.149075e
0.151151e	0.151072e
0.153153e	0.153069e
0.155155e	0.155065e
0.157157e	0.157061e
0.159159e	0.159057e
0.161161e	0.161053e
0.163163e	0.163048e
0.165165e	0.165042e
0.167167e	0.167037e
0.169169e	0.169031e
0.171171e	0.171024e
0.173173e	0.173018e
0.175175e	0.175010e
0.177177e	0.177003e
0.179179e	0.178995e
0.181181e	0.180986e
0.183183e	0.182977e
0.185185e	0.184968e
0.187187e	0.186958e
0.189189e	0.188947e
0.191191e	0.190936e
0.193193e	0.192924e
0.195195e	0.194912e
0.197197e	0.196899e
0.199199e	0.198886e
0.201201e	0.200872e
0.203203e	0.202857e
0.205205e	0.204842e
0.207207e	0.206826e
0.209209e	0.208809e
0.211211e	0.210792e
0.213213e	0.212773e
0.215215e	0.214754e
0.217217e	0.216735e
0.219219e	0.218714e
0.221221e	0.220693e
0.223223e	0.222670e
0.225225e	0.224647e
0.227227e	0.226623e
0.229229e	0.228598e
0.231231e	0.230572e
0.233233e	0.232545e
0.235235e	0.234517e
0.237237e	0.236488e
0.239239e	0.238458e
0.241241e	0.240427e
0.243243e	0.242395e
0.245245e	0.244361e
0.247247e	0.246327e
0.249249e	0.248291e
0.251251e	0.250254e
0.253253e	0.252216e
0.255255e	0.254176e
0.257257e	0.256135e
0.259259e	0.258093e
0.261261e	0.260050e
0.263263e	0.262005e
0.265265e	0.263958e
0.267267e	0.265910e
0.269269e	0.267861e
0.271271e	0.269810e
0.273273e	0.271758e
0.275275e	0.273704e
0.277277e	0.275648e
0.279279e	0.277591e
0.281281e	0.279531e
0.283283e	0.281471e
0.285285e	0.283408e
0.287287e	0.285344e
0.289289e	0.287277e
0.291291e	0.289209e
0.293293e	0.291139e
0.295295e	0.293067e
0.297297e	0.294993e
0.299299e	0.296917e
0.301301e	0.298838e
0.303303e	0.300758e
0.305305e	0.302676e
0.307307e	0.304591e
0.309309e	0.306504e
0.311311e	0.308415e
0.313313e	0.310323e
0.315315e	0.312229e
0.317317e	0.314132e
0.319319e	0.316034e
0.321321e	0.317932e
0.323323e	0.319828e
0.325325e	0.321722e
0.327327e	0.323612e
0.329329e	0.325500e
0.331331e	0.327386e
0.333333e	0.329268e
0.335335e	0.331148e
0.337337e	0.333025e
0.339339e	0.334899e
0.341341e	0.336770e
0.343343e	0.338637e
0.345345e	0.340502e
0.347347e	0.342364e
0.349349e	0.344222e
0.351351e	0.346077e
0.353353e	0.347929e
0.355355e	0.349778e
0.357357e	0.351623e
0.359359e	0.353465e
0.361361e	0.355303e
0.363363e	0.357137e
0.365365e	0.358969e
0.367367e	0.360796e
0.369369e	0.362620e
0.371371e	0.364439e
0.373373e	0.366255e
0.375375e	0.368068e
0.377377e	0.369876e
0.379379e	0.371680e
0.381381e	0.373480e
0.383383e	0.375276e
0.385385e	0.377068e
0.387387e	0.378855e
0.389389e	0.380639e
0.391391e	0.382417e
0.393393e	0.384192e
