-0.954395e	-0.521553e
-0.954195e	-0.521630e
-0.953995e	-0.521714e
-0.953795e	-0.521848e
-0.953595e	-0.521891e
-0.953395e	-0.522007e
-0.953195e	-0.522103e
-0.952995e	-0.522167e
-0.952795e	-0.522282e
-0.952595e	-0.522321e
-0.952395e	-0.522464e
-0.952195e	-0.522565e
-0.951995e	-0.522647e
-0.951795e	-0.522744e
-0.951595e	-0.522794e
-0.951395e	-0.522872e
-0.951195e	-0.522993e
-0.950995e	-0.523091e
-0.950795e	-0.523172e
-0.950595e	-0.523266e
-0.950395e	-0.523310e
-0.950195e	-0.523447e
-0.949995e	-0.523540e
-0.949795e	-0.523603e
-0.949595e	-0.523692e
-0.949395e	-0.523754e
-0.949195e	-0.523873e
-0.948995e	-0.523969e
-0.948795e	-0.524040e
-0.948595e	-0.524096e
-0.948395e	-0.524217e
-0.948195e	-0.524311e
-0.947995e	-0.524406e
-0.947795e	-0.524479e
-0.947595e	-0.524567e
-0.947395e	-0.524673e
-0.947195e	-0.524750e
-0.946995e	-0.524852e
-0.946795e	-0.524922e
-0.946595e	-0.524984e
-0.946395e	-0.525095e
-0.946195e	-0.525204e
-0.945995e	-0.525285e
-0.945795e	-0.525354e
-0.945595e	-0.525476e
-0.945395e	-0.525547e
-0.945195e	-0.525631e
-0.944994e	-0.525700e
-0.944794e	-0.525791e
-0.944594e	-0.525892e
-0.944394e	-0.525969e
-0.944194e	-0.526042e
-0.943994e	-0.526134e
-0.943794e	-0.526233e
-0.943594e	-0.526319e
-0.943394e	-0.526405e
-0.943194e	-0.526495e
-0.942994e	-0.526584e
-0.942794e	-0.526651e
-0.942594e	-0.526763e
-0.942394e	-0.526843e
-0.942194e	-0.526907e
-0.941994e	-0.527001e
-0.941794e	-0.527086e
-0.941594e	-0.527182e
-0.941394e	-0.527271e
-0.941194e	-0.527356e
-0.940994e	-0.527436e
-0.940794e	-0.527514e
-0.940594e	-0.527609e
-0.940394e	-0.527687e
-0.940194e	-0.527775e
-0.939994e	-0.527849e
-0.939794e	-0.527935e
-0.939594e	-0.528030e
-0.939394e	-0.528117e
-0.939194e	-0.528204e
-0.938994e	-0.528283e
-0.938794e	-0.528371e
-0.938594e	-0.528456e
-0.938394e	-0.528537e
-0.938194e	-0.528626e
-0.937994e	-0.528706e
-0.937794e	-0.528790e
-0.937594e	-0.528874e
-0.937394e	-0.528957e
-0.937194e	-0.529045e
-0.936994e	-0.529128e
-0.936794e	-0.529212e
-0.936594e	-0.529291e
-0.936394e	-0.529382e
-0.936194e	-0.529463e
-0.935994e	-0.529548e
-0.935794e	-0.529632e
-0.935594e	-0.529714e
-0.935394e	-0.529797e
-0.935194e	-0.529879e
-0.934993e	-0.529965e
-0.934793e	-0.530049e
-0.934593e	-0.530132e
-0.934393e	-0.530214e
-0.934193e	-0.530298e
-0.933993e	-0.530380e
-0.933793e	-0.530463e
-0.933593e	-0.530546e
-0.933393e	-0.530628e
-0.933193e	-0.530711e
-0.932993e	-0.530794e
-0.932793e	-0.530877e
-0.932593e	-0.530959e
-0.932393e	-0.531041e
-0.932193e	-0.531124e
-0.931993e	-0.531206e
-0.931793e	-0.531289e
